RadTrack,Copyright 2012-2014 by RadiaBeam Technologies LLC - All rights reserved (C)
 p0 [eV],Q [C],mass [eV]
 200000000.0,1e-09,510998.909848
 x,xp,y,yp,s,dp
 [m],[rad],[m],[rad],[m],[rad]
-2.811021187632e-04,1.966411756743e-03,-1.345636553323e-04,-1.110060951909e-03,5.747356509971e-04,1.588847200312e-04
1.206091857337e-03,-1.186323205450e-02,2.634227256236e-04,-4.146907320805e-04,-1.481701842563e-04,-4.014266087273e-04
7.618699206424e-04,-8.433940413924e-03,1.825336116786e-04,-8.985515199318e-04,3.234358725272e-04,-6.342931969014e-04
-2.904896193100e-04,3.001598618092e-03,9.736387442717e-05,2.702498972184e-04,1.156562106069e-03,-1.824309912262e-04
1.222235602716e-03,-1.013890055357e-02,-5.291851287517e-04,-1.897225527709e-04,1.160238548774e-03,7.285301351189e-06
-2.314347091612e-03,2.360228427628e-02,1.316283926236e-03,8.218587628638e-04,1.057928075181e-03,7.112243761056e-04
4.804422435821e-04,-5.490887521944e-03,1.703555465300e-04,4.589726836085e-04,-8.428970386297e-05,-1.097269780478e-03
1.313480456929e-03,-1.264692438838e-02,2.257090179619e-03,1.569455561523e-03,-8.634480475744e-05,7.875630921745e-04
2.336474397754e-03,-2.278957247927e-02,-2.493639176067e-04,1.509057383908e-03,-1.098330053897e-03,-1.562858438704e-03
-2.496425809395e-03,2.429225365620e-02,1.116459949643e-03,-4.510277500826e-04,5.789991329811e-04,-1.730461548849e-03
1.025361501877e-03,-1.011453475130e-02,9.343376353608e-04,1.146982128937e-03,9.839389776007e-04,-2.329497068668e-03
2.217357906045e-04,-2.134289973091e-03,-1.765562992482e-03,6.411498820649e-04,-4.216105569770e-04,3.173466278976e-05
8.020025761130e-04,-7.011378078237e-03,2.483342951714e-03,1.580509617217e-03,9.612969032868e-04,1.491069728560e-04
4.878577098638e-04,-3.625646945004e-03,1.612023329093e-03,1.347298516452e-03,2.421107652891e-04,-2.671583804458e-04
-8.541059747697e-04,6.858848173888e-03,3.930034605875e-04,2.082199290438e-03,-2.691793310090e-03,8.617896724160e-04
-2.425381895540e-04,1.585332233447e-03,-6.951948257186e-04,3.205767918356e-03,-1.512770607562e-03,4.625439087837e-04
-2.980406402558e-04,3.412624659473e-03,-1.301869987792e-04,-1.868136519757e-04,-2.009282214664e-03,2.377197166754e-04
4.981112946054e-04,-4.642744028807e-03,1.672005572283e-03,1.725453944238e-03,-1.424311219674e-03,-1.200794701586e-04
-8.407857088692e-04,7.680984024166e-03,-1.528306898210e-05,2.109848056261e-04,-1.125363373747e-03,1.521044146907e-03
8.030849672290e-04,-7.675146989100e-03,9.749773390682e-06,8.741008535999e-05,-1.056128770117e-03,2.457395064850e-04
-7.065153453017e-04,5.863292445341e-03,1.278253102767e-05,-1.844576825687e-04,-3.652418671947e-04,9.543396550945e-04
5.295929516305e-04,-5.623127089122e-03,9.199786781917e-04,-2.655132544205e-04,2.293303455842e-03,5.122737910595e-04
-4.634134375187e-05,3.228979720809e-04,-3.857400678357e-04,1.338643145149e-03,-1.852884556270e-03,6.988148816391e-05
1.931154867757e-03,-1.989022223067e-02,-1.598310161753e-03,8.192445727457e-04,3.327626685637e-04,-1.145076777734e-03
-5.888911695490e-04,5.169508469832e-03,-4.460092855246e-04,2.522382816378e-04,8.161845798273e-05,2.894942538116e-04
6.058746547415e-04,-6.179180332587e-03,-4.545026854400e-04,2.094751902740e-03,7.238826932766e-04,-5.547309353176e-04
-1.200694175588e-03,1.112988679775e-02,5.178959604356e-05,1.531879973618e-03,2.354920961336e-04,-6.596041812146e-04
-1.128383321275e-03,1.070431473781e-02,3.137549545118e-04,1.182366349846e-03,1.508024542897e-03,5.113155070714e-04
1.460585763467e-03,-1.429388221050e-02,-1.230181193401e-03,2.880251263174e-03,9.335251347934e-05,6.756622527823e-04
-1.389492097369e-04,-1.040737711855e-03,-8.174505076325e-04,-4.199017834681e-04,-3.290606106452e-04,1.481549484193e-03
-1.514568845578e-05,1.640806413435e-03,-1.332654486458e-03,1.346041220336e-04,1.762448109790e-03,-1.221252860023e-04
-1.006564861335e-03,9.919855139720e-03,1.385276809038e-03,6.071982881596e-04,3.616008126225e-04,-1.554081356639e-03
-1.285549550830e-03,1.419798867726e-02,-5.797364671254e-04,1.465761428704e-03,-1.104698090427e-03,1.382335907012e-03
5.992949752966e-05,-8.156841112369e-05,1.267502357004e-04,2.112702157724e-03,2.045784118621e-04,-1.541587443446e-03
-1.465111578887e-03,1.304629582722e-02,-8.310626784356e-04,2.330943287070e-03,1.142424746379e-03,-1.265418632153e-03
5.247298324279e-04,-3.703114650344e-03,-7.868782842894e-04,7.943748740773e-04,1.161342107837e-04,-4.314101666431e-04
-1.109134976713e-04,1.459729931980e-03,-2.566037473256e-04,6.539627534151e-04,-4.472108352332e-04,1.159683150347e-03
4.992611356015e-05,-1.249526684286e-03,5.393835367912e-04,2.019766848397e-03,-2.463308975934e-04,-1.447531777263e-03
-2.227155402850e-03,2.184490135504e-02,6.712975803109e-04,-9.309677901381e-04,7.066386415276e-04,1.841211917361e-04
-1.385020288785e-04,1.241692203537e-03,2.455064740420e-03,2.054933420177e-04,4.137336845352e-04,-4.760984918035e-04
1.478926064407e-03,-1.274342391310e-02,5.650398861759e-04,1.353841702361e-03,-1.121350006340e-03,-7.118885378614e-04
3.327431028992e-04,-3.649342848749e-03,4.472467140533e-04,2.779220644353e-04,1.169979617237e-03,1.213388868986e-03
